HOME; AWAY; FTHG; FTAGPanama; USA; 2; 1
Uruguay; Bolivia; 5; 0
Comoros; Zimbabwe; 0; 1
Zambia; Kenya; 0; 2
Yemen U19; Oman U19; 3; 1
Kuwait U19; Saudi Arabia U19; 0; 3
Fiji; Vanuatu; 1; 2
Fluminense; Vitoria; 0; 1
Sao Paulo; Criciuma; 2; 1
Atletico-MG W; Gremio W; 1; 2
Internacional W; Ferroviaria W; 1; 1
Valour; York Utd; 1; 0
Pacific FC; Vancouver FC; 1; 2
Magallanes; Curico Unido; 4; 0
El Gouna; Future FC; 0; 2
El Ismaily; Al Masry; 0; 1
ZED; El Gaish; 4; 1
Flora U21; Saue Laagri; 4; 0
Hawassa; Bahir Dar Kenema; 1; 1
Dire Dawa; Sidama Bunna; 0; 2
Vestri; Fram; 1; 3
KR Reykjavik; Fylkir; 2; 2
Stjarnan; Vikingur Reykjavik; 0; 4
Army Red; Aryan; 0; 6
Kalighat; Suruchi Sangha; 1; 2
Kidderpore; Measures Club; 1; 0
Southern Samity; BSS Sporting; 1; 2
United SC; Diamond Harbour; 1; 2
Al Karkh; Newroz; 2; 1
Al Minaa; Naft Missan; 3; 0
Al Naft; Duhok
2; 0; 0
Al Shorta; Naft Al-Basra; 1; 0
Zakho; Karbala; 2; 1
Grobina; BFC Daugavpils; 3; 0
Al Hilal Benghazi; Al Ahly Benghazi; -; -
Al Madina; Al Ahly Tripoli; -; -
Al Nasr; Asswehly; -; -
Kamuzu Barracks; Silver Strikers; -; -
Sandefjord; HamKam; 1; 2
Lillestrom; KFUM Oslo; 2; 1
